service_id,provider_id,service_name,service_type,category,description,reward_amount,reward_type,eligibility_criteria,max_annual_benefit,activity_requirement,age_restriction,digital_app_required,popularity_score
SRV037,INS010,AXA Vitality,Vitality Program,Wellness,"Comprehensive wellness and rewards program",400,Euro Cash,Active lifestyle tracking,400,Weekly activity goals,None,Yes,8.9
SRV038,INS010,AXA Mind,Mental Wellness,Mental Health,"Mental health and psychological support services",300,Service Value,Mental health program participation,300,Regular consultations,None,Yes,8.7
SRV039,INS010,Premium Sports,Premium Fitness,Fitness,"Access to premium sports facilities and coaches",600,Service Value,Premium membership,600,Regular facility usage,None,No,9.0
SRV040,INS010,AXA International,Global Health,International,"International health coverage and emergency services",800,Service Value,International coverage plan,800,Travel documentation,None,Yes,9.1
SRV041,INS011,Signal Aktiv,Activity Program,Fitness,"Comprehensive activity tracking and rewards",280,Euro Cash,Activity participation,280,Weekly activity goals,None,Yes,8.4
SRV042,INS011,Prävention Plus,Prevention Plus,Prevention,"Enhanced preventive care and screening",350,Service Value,Prevention program participation,350,Annual comprehensive screening,None,No,8.8
SRV043,INS011,Signal Familie,Family Health,Family Health,"Comprehensive family health programs",450,Service Value,Family membership,450,Family health assessments,None,No,8.6
SRV044,INS011,Digital Health Hub,Digital Platform,Digital Health,"Comprehensive digital health platform",0,Free Service,Signal membership,0,Regular platform usage,None,Yes,8.2
SRV045,INS012,DKV Bonus,Health Bonus,Prevention,"Comprehensive health bonus program",500,Euro Cash,Health activity participation,500,5 activities/year,None,No,8.9
SRV046,INS012,DKV Sport,Sports Program,Fitness,"Sports activities and facility partnerships",300,Discount,Sports participation,300,Regular sports activities,None,No,8.5
SRV047,INS012,DKV Gesund Leben,Healthy Living,Lifestyle,"Comprehensive healthy lifestyle program",250,Euro Cash,Lifestyle program participation,250,Quarterly lifestyle assessment,None,Yes,8.7
SRV048,INS012,DKV Check-up Plus,Health Screening,Prevention,"Enhanced health screening and checkup services",400,Service Value,Annual checkup participation,400,Comprehensive annual exam,None,No,9.0
